OBJECTID,Name,Area Code,Phone Number,Address,Address (line 2),City,State,ZIPCode,County,Directions,NAICS Description,Degree Type,Enrollment,x,y
1,RHODE ISLAND SCHOOL OF DESIGN,401,454-6100,2 COLLEGE ST, ,PROVIDENCE,RI,02903,PROVIDENCE, ,FINE ARTS SCHOOLS (EXCEPT ACADEMIC),MASTER'S DEGREE,2258,-71.4076169558653,41.8260989263611
2,NEW ENGLAND INSTITUTE OF TECHNOLOGY,401,467-7744,2500 POST RD, ,WARWICK,RI,02886,KENT, ,TECHNICAL AND TRADE SCHOOLS,BACHELOR'S DEGREE,3066,-71.4455136652805,41.7145329223618
3,GIBBS COLLEGE,401,824-5300,85 GARFIELD AVE, ,CRANSTON,RI,02920,PROVIDENCE, ,COLLEGES (EXCEPT JUNIOR COLLEGES),ASSOCIATE'S DEGREE,546,-71.4417782290264,41.7987635908731
4,ALAN SHAWN FEINSTEIN COLLEGE OF CONTINUING EDUCATION,401,277-5000,80 WASHINGTON STREET, ,PROVIDENCE,RI,02903,PROVIDENCE,LOC ON THE EAST CORNER OF WASHINGTON ST AND CLEMENCE ST.,COLLEGES (EXCEPT JUNIOR COLLEGES), ,0,-71.4141009107285,41.8233389964631
5,JOHNSON & WALES UNIVERSITY,401,598-1000,8 ABBOTT PARK PLACE, ,PROVIDENCE,RI,02903,PROVIDENCE, ,CULINARY ARTS SCHOOLS,DOCTOR'S DEGREE,10171,-71.4137501273603,41.8200339266884
6,BRYANT UNIVERSITY,401,232-6000,1150 DOUGLAS PIKE, ,SMITHFIELD,RI,02917,PROVIDENCE, ,UNIVERSITIES,POST-MASTER'S CERTIFICATE,3642,-71.5392592039988,41.9200211416639
7,ZION BIBLE COLLEGE,401,246-0900,27 MIDDLE HWY, ,BARRINGTON,RI,02806,BRISTOL, ,THEOLOGICAL SEMINARIES OFFERING BACCALAUREATE OR GRADUATE DEGREES,BACHELOR'S DEGREE,256,-71.3317140409838,41.7598012001457
8,COMMUNITY COLLEGE OF RHODE ISLAND,401,825-1000,400 EAST AVE, ,WARWICK,RI,02886,KENT, ,COMMUNITY COLLEGES,ASSOCIATE'S DEGREE,16042,-71.4775700621927,41.7163691054108
9,RHODE ISLAND COLLEGE,401,456-8000,600 MOUNT PLEASANT AVE, ,PROVIDENCE,RI,02908,PROVIDENCE, ,COLLEGES (EXCEPT JUNIOR COLLEGES),DOCTOR'S DEGREE,8871,-71.4532968556053,41.8425465073055
10,ROGER WILLIAMS UNIVERSITY,401,253-1040,1 OLD FERRY ROAD, ,BRISTOL,RI,02809,BRISTOL,"LOC ON THE EAST SIDE OF STATE ROUTE 114, .55 MI SOUTH OF GRISWOLD AVE.",UNIVERSITIES,MASTER'S DEGREE,4605,-71.2625662139383,41.6501511735075
